party,date,vehicleno,volume,rate,product,amount,
PAVITRA,2023-06-17,KA02AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-17,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-19,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-20,TN28BJ3957,311,87.07,Diesel,27078.769999999997,
PAVITRA,2023-06-20,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-20,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-21,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-21,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-24,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-25,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-26,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-26,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-26,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-26,KA01AE6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-27,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-27,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-30,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-06-30,KA01AE4519,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-30,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-06-30,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-06-30,NL01Q5265,260,87.07,Diesel,22638.199999999997,
BAWA,2023-06-05,KA19AB4314,180,87.07,Diesel,15672.599999999999,
BAWA,2023-06-15,KA19AC1973,180,87.07,Diesel,15672.599999999999,
BAWA,2023-06-15,KA19AC1973,70,87.07,Diesel,6094.9,
BAWA,2023-06-28,KA19AC1693,180,87.07,Diesel,15672.599999999999,
BAWA,2023-07-04,KA199043,50,87.07,Diesel,4353.5,
GCC,2023-07-07,,9.37,101.06,Petrol,946.9322,
GCC,2023-07-09,,19.79,101.06,Petrol,1999.9774,
GCC,2023-07-10,,8.31,101.06,Petrol,839.8086000000001,
GCC,2023-07-18,,800,87.07,Diesel,69656,
GCC,2023-07-20,,5.93,101.06,Petrol,599.2858,
GCC,2023-07-23,,7.42,101.06,Petrol,749.8652,
GCC,2023-07-24,,600,87.07,Diesel,52241.99999999999,
PAVITRA,2023-05-30,OpenBal,2508.825,87.07,Diesel,218443.39274999997,
PAVITRA,2023-07-03,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-06,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-06,KA21A3448,270,87.07,Diesel,23508.899999999998,
PAVITRA,2023-07-07,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-07,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-07,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-09,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-11,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-12,KA01AE4519,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-12,TN28BJ3957,349,87.07,Diesel,30387.429999999997,
PAVITRA,2023-07-12,KA21A3448,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-13,KA01AE8655,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-13,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-13,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-14,KA01AE4516,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-14,MH43BG7160,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-15,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-16,AP31TH7592,280,87.07,Diesel,24379.6,
PAVITRA,2023-07-17,KA01AE8655,240,87.07,Diesel,20896.8,
PAVITRA,2023-07-17,NL01Q5265,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-17,KA01AG6055,260,87.07,Diesel,22638.199999999997,
PAVITRA,2023-07-19,KA01AG2055,250,87.07,Diesel,21767.5,
PAVITRA,2023-07-19,TN28BJ3957,100,87.07,Diesel,8707,
